,dt,AverageTemperature,Country
473,1835-06-01,27.61,India
474,1835-07-01,25.674,India
475,1835-08-01,24.582,India
476,1835-09-01,24.038,India
477,1835-10-01,22.62,India
478,1835-11-01,18.8,India
479,1835-12-01,15.693,India
480,1836-01-01,16.279,India
481,1836-02-01,18.658,India
482,1836-03-01,22.974,India
483,1836-04-01,26.581,India
484,1836-05-01,29.178,India
485,1836-06-01,28.739,India
486,1836-07-01,26.399,India
487,1836-08-01,25.049,India
488,1836-09-01,25.011,India
489,1836-10-01,23.705,India
490,1836-11-01,19.315,India
491,1836-12-01,17.222,India
492,1837-01-01,16.974,India
493,1837-02-01,19.469,India
494,1837-03-01,22.557,India
495,1837-04-01,25.811,India
496,1837-05-01,28.233,India
497,1837-06-01,28.064,India
498,1837-07-01,26.407,India
499,1837-08-01,25.428,India
500,1837-09-01,25.252,India
501,1837-10-01,23.036,India
502,1837-11-01,19.7,India
503,1837-12-01,17.264,India
504,1838-01-01,14.552,India
505,1838-02-01,18.164,India
506,1838-03-01,22.433000000000003,India
507,1838-04-01,27.11,India
508,1838-05-01,28.662,India
509,1838-06-01,28.632,India
510,1838-07-01,27.264000000000006,India
511,1838-08-01,25.756,India
512,1838-09-01,25.333,India
513,1838-10-01,23.542,India
514,1838-11-01,19.936,India
515,1838-12-01,16.930999999999997,India
516,1839-01-01,17.080000000000002,India
517,1839-02-01,19.788,India
518,1839-03-01,21.856,India
519,1839-04-01,27.024,India
520,1839-05-01,28.879,India
521,1839-06-01,28.301,India
522,1839-07-01,26.879,India
523,1839-08-01,25.681,India
524,1839-09-01,24.73,India
525,1839-10-01,23.599,India
526,1839-11-01,18.948,India
527,1839-12-01,16.172,India
528,1840-01-01,17.352999999999998,India
529,1840-02-01,19.266,India
530,1840-03-01,22.937,India
531,1840-04-01,27.185,India
532,1840-05-01,29.242,India
533,1840-06-01,28.615,India
534,1840-07-01,27.185,India
535,1840-08-01,25.486,India
536,1840-09-01,24.75,India
537,1840-10-01,23.075,India
538,1840-11-01,19.404,India
539,1840-12-01,16.844,India
540,1841-01-01,16.706,India
541,1841-02-01,19.124,India
542,1841-03-01,22.343000000000004,India
543,1841-04-01,26.193,India
544,1841-05-01,28.79,India
545,1841-06-01,28.487,India
546,1841-07-01,27.141,India
547,1841-08-01,25.486,India
548,1841-09-01,25.078000000000003,India
549,1841-10-01,22.989,India
550,1841-11-01,19.971,India
551,1841-12-01,16.820999999999998,India
552,1842-01-01,16.59,India
553,1842-02-01,19.183,India
554,1842-03-01,23.559,India
555,1842-04-01,27.206,India
556,1842-05-01,29.148000000000003,India
557,1842-06-01,28.21,India
558,1842-07-01,26.667,India
559,1842-08-01,25.333,India
560,1842-09-01,24.59,India
561,1842-10-01,23.055,India
562,1842-11-01,19.829,India
563,1842-12-01,17.601000000000006,India
564,1843-01-01,17.105,India
565,1843-02-01,19.783,India
